seq_id,print_id,tile_id,saturated,centroids
49,SI266220200309225433,1,0,"[{""x"": 349.09897292250236, ""y"": 50.74256369214353, ""count"": 7497}, {""x"": 347.15500354861604, ""y"": 267.7484740951029, ""count"": 7045}, {""x"": 344.51192504258944, ""y"": 477.5872231686542, ""count"": 5870}, {""x"": 473.98900915903414, ""y"": 60.00682764363031, ""count"": 6005}, {""x"": 473.75754281054634, ""y"": 472.62924707801034, ""count"": 3679}, {""x"": 474.3358957219251, ""y"": 276.192179144385, ""count"": 5984}]"
50,SI266220200309225433,2,77,"[{""x"": 404.4554611650485, ""y"": 198.77111650485438, ""count"": 16480}, {""x"": 405.52395811663547, ""y"": 418.4761112266833, ""count"": 14421}, {""x"": 362.0080971659919, ""y"": 10.165317139001349, ""count"": 1482}, {""x"": 473.5355648535565, ""y"": 21.253328261696463, ""count"": 2629}]"
51,SI266220200309225433,3,6667,"[{""x"": 391.16303495845744, ""y"": 142.66903119611226, ""count"": 25516}, {""x"": 339.0, ""y"": 247.5, ""count"": 34}, {""x"": 399.4, ""y"": 243.6, ""count"": 30}, {""x"": 436.72727272727275, ""y"": 226.9090909090909, ""count"": 44}]"
52,SI266220200309225433,4,0,"[{""x"": 23.34297782470961, ""y"": 343.34868004223864, ""count"": 4735}, {""x"": 331.3001709933157, ""y"": 338.93004818902534, ""count"": 19299}]"
53,SI266220200309225433,5,129,"[{""x"": 23.796175752644427, ""y"": 59.96501220504475, ""count"": 4916}, {""x"": 24.101092353525324, ""y"": 275.4863952333664, ""count"": 5035}, {""x"": 24.3617912371134, ""y"": 472.20360824742266, ""count"": 3104}, {""x"": 241.44951856946355, ""y"": 50.57647867950482, ""count"": 7270}, {""x"": 340.5652028159571, ""y"": 266.3515336909152, ""count"": 23864}, {""x"": 333.80099852781154, ""y"": 471.91582922614094, ""count"": 15623}, {""x"": 396.73257653298595, ""y"": 58.77482088024565, ""count"": 10747}]"
54,SI266220200309225433,6,0,"[{""x"": 24.026578073089702, ""y"": 20.803512102515423, ""count"": 2107}, {""x"": 25.674486803519063, ""y"": 202.72986027255476, ""count"": 5797}, {""x"": 25.146713183988247, ""y"": 422.8347410943812, ""count"": 5446}, {""x"": 334.7158622112211, ""y"": 202.65439356435644, ""count"": 19392}, {""x"": 336.141368683657, ""y"": 418.78907205400384, ""count"": 20443}, {""x"": 253.28366948601172, ""y"": 10.387768379960963, ""count"": 1537}, {""x"": 394.6580565805658, ""y"": 21.178966789667896, ""count"": 4878}]"
55,SI266220200309225433,7,2895,"[{""x"": 35.75445276992998, ""y"": 141.88637759489006, ""count"": 8141}, {""x"": 338.05661138502916, ""y"": 136.30022411474675, ""count"": 22310}]"
56,SI266220200309225433,8,0,"[{""x"": 131.5418073227733, ""y"": 333.8586081537263, ""count"": 7702}, {""x"": 295.9429157727824, ""y"": 343.5700960731275, ""count"": 10721}, {""x"": 479.19043107531974, ""y"": 336.0530554239697, ""count"": 2111}]"
57,SI266220200309225433,9,358,"[{""x"": 130.56393190835786, ""y"": 475.8307948291309, ""count"": 7813}, {""x"": 131.62868614149247, ""y"": 51.02076699432369, ""count"": 7223}, {""x"": 133.65965147453082, ""y"": 267.37493297587133, ""count"": 7460}, {""x"": 297.8724489795918, ""y"": 275.02115027829313, ""count"": 10780}, {""x"": 299.49160978384526, ""y"": 472.2636518771331, ""count"": 7032}, {""x"": 297.30545977011496, ""y"": 59.59473180076628, ""count"": 10440}, {""x"": 478.7274427302478, ""y"": 481.57924263674613, ""count"": 2139}, {""x"": 479.42466434609645, ""y"": 267.87468920934856, ""count"": 2011}, {""x"": 479.8374539715939, ""y"": 52.26091530773277, ""count"": 1901}]"
58,SI266220200309225433,10,4,"[{""x"": 129.56648899822332, ""y"": 199.0945742790761, ""count"": 7317}, {""x"": 130.02219321148826, ""y"": 416.06628952712504, ""count"": 6894}, {""x"": 136.6267217630854, ""y"": 12.010674931129477, ""count"": 2904}, {""x"": 138.97674418604652, ""y"": 61.02325581395349, ""count"": 43}, {""x"": 187.5, ""y"": 50.5, ""count"": 32}, {""x"": 297.45510507323286, ""y"": 21.590957333899386, ""count"": 4711}, {""x"": 297.20001938172305, ""y"": 208.2057369900184, ""count"": 10319}, {""x"": 297.2659595173219, ""y"": 424.3283378746594, ""count"": 10276}, {""x"": 479.66340206185566, ""y"": 200.43092783505153, ""count"": 1940}, {""x"": 479.64741951967295, ""y"": 416.6877874297394, ""count"": 1957}, {""x"": 497.4732824427481, ""y"": 5.152671755725191, ""count"": 131}]"
59,SI266220200309225433,11,0,"[{""x"": 130.77325236966826, ""y"": 132.13284952606634, ""count"": 6752}, {""x"": 296.97251878212734, ""y"": 140.37287465401346, ""count"": 10116}, {""x"": 479.57709923664123, ""y"": 132.71704834605598, ""count"": 1965}]"
60,SI266220200309225433,12,0,"[{""x"": 146.13291173160405, ""y"": 339.00342998017044, ""count"": 18659}]"
61,SI266220200309225433,13,0,"[{""x"": 37.88009689140089, ""y"": 51.578926120306825, ""count"": 4954}, {""x"": 39.22939534883721, ""y"": 267.4746046511628, ""count"": 5375}, {""x"": 39.091816800520945, ""y"": 472.60863902756677, ""count"": 4607}, {""x"": 115.0, ""y"": 494.5, ""count"": 10}, {""x"": 198.83870967741936, ""y"": 471.3790687490877, ""count"": 6851}, {""x"": 196.8981124617057, ""y"": 59.62427117304082, ""count"": 10119}, {""x"": 197.43212843683906, ""y"": 275.7988848298404, ""count"": 10402}]"
62,SI266220200309225433,14,0,"[{""x"": 39.932065217391305, ""y"": 10.824728260869565, ""count"": 1472}, {""x"": 37.70476381104884, ""y"": 199.76481184947957, ""count"": 4996}, {""x"": 37.52168674698795, ""y"": 416.3530120481928, ""count"": 4980}, {""x"": 196.97041289467873, ""y"": 21.3066902185913, ""count"": 4529}, {""x"": 197.167965705378, ""y"": 208.19222525331256, ""count"": 10264}, {""x"": 197.29885842521222, ""y"": 424.66435749829253, ""count"": 10249}]"
63,SI266220200309225433,15,0,"[{""x"": 37.43018563357546, ""y"": 132.33232445520582, ""count"": 4956}, {""x"": 197.07799960853396, ""y"": 140.53738500685066, ""count"": 10218}]"
64,SI266220200309225433,0,0,"[{""x"": 346.7239273410586, ""y"": 335.76996554963983, ""count"": 6386}, {""x"": 475.0427320490368, ""y"": 343.5660245183888, ""count"": 5710}]"
65,SI266220200309225433,1,0,"[{""x"": 347.6627650784908, ""y"": 51.15973561002479, ""count"": 7262}, {""x"": 346.9958128790066, ""y"": 267.76913081143516, ""count"": 6926}, {""x"": 343.7882187938289, ""y"": 477.8218793828892, ""count"": 5704}, {""x"": 474.3389142567225, ""y"": 59.89734483341789, ""count"": 5913}, {""x"": 474.2106874478152, ""y"": 472.67854160868353, ""count"": 3593}, {""x"": 474.66243567753, ""y"": 275.7759862778731, ""count"": 5830}]"
66,SI266220200309225433,2,0,"[{""x"": 404.15133431674934, ""y"": 200.43066916990747, ""count"": 14914}, {""x"": 405.66220686613246, ""y"": 418.92766301551126, ""count"": 13603}, {""x"": 362.2197278911565, ""y"": 10.336054421768708, ""count"": 1470}, {""x"": 473.87024429315176, ""y"": 20.805766920304364, ""count"": 2497}]"
67,SI266220200309225433,3,268,"[{""x"": 394.492905119879, ""y"": 141.28352831279747, ""count"": 22481}, {""x"": 339.0, ""y"": 247.33333333333334, ""count"": 30}, {""x"": 399.72, ""y"": 243.28, ""count"": 25}, {""x"": 436.725, ""y"": 227.0, ""count"": 40}]"
68,SI266220200309225433,4,0,"[{""x"": 23.344611528822057, ""y"": 344.03550543024227, ""count"": 4788}, {""x"": 332.1276675202732, ""y"": 339.37814767392234, ""count"": 18744}]"
69,SI266220200309225433,5,0,"[{""x"": 23.816878659398345, ""y"": 60.33494851605088, ""count"": 4953}, {""x"": 24.02096645367412, ""y"": 276.01956869009587, ""count"": 5008}, {""x"": 23.97714474991719, ""y"": 472.0241801921166, ""count"": 3019}, {""x"": 240.18104667609617, ""y"": 51.07850070721358, ""count"": 7070}, {""x"": 338.9295122987583, ""y"": 268.42849723809076, ""count"": 21181}, {""x"": 329.28972559029995, ""y"": 472.8876834716018, ""count"": 14103}, {""x"": 396.8398404103733, ""y"": 59.1265317754346, ""count"": 10527}]"
70,SI266220200309225433,6,0,"[{""x"": 23.99710843373494, ""y"": 21.413493975903613, ""count"": 2075}, {""x"": 25.167368613806996, ""y"": 204.760117194653, ""count"": 5461}, {""x"": 24.88587570621469, ""y"": 423.61544256120527, ""count"": 5310}, {""x"": 334.19668838219326, ""y"": 203.43241042345278, ""count"": 18420}, {""x"": 335.2344841973506, ""y"": 419.3727443412955, ""count"": 19174}, {""x"": 253.83984116479152, ""y"": 10.397749834546659, ""count"": 1511}, {""x"": 395.7421858159086, ""y"": 20.717180426816125, ""count"": 4639}]"
71,SI266220200309225433,7,91,"[{""x"": 33.036548502335805, ""y"": 141.6198131354768, ""count"": 7278}, {""x"": 336.09722559642387, ""y"": 136.48165783975512, ""count"": 20581}]"
72,SI266220200309225433,8,0,"[{""x"": 130.61575408261288, ""y"": 334.98572800878276, ""count"": 7287}, {""x"": 296.4100141709967, ""y"": 343.8220122815305, ""count"": 10585}, {""x"": 479.07925961082105, ""y"": 336.0251542477456, ""count"": 2107}]"
73,SI266220200309225433,9,0,"[{""x"": 129.04962707974755, ""y"": 476.49627079747563, ""count"": 6972}, {""x"": 130.7056747600226, ""y"": 51.50508187464709, ""count"": 7084}, {""x"": 131.69952790891418, ""y"": 267.7571507914468, ""count"": 7202}, {""x"": 297.5013200075429, ""y"": 275.312370356402, ""count"": 10606}, {""x"": 298.4361733490566, ""y"": 472.3089622641509, ""count"": 6784}, {""x"": 297.38103464823877, ""y"": 59.89768691813034, ""count"": 10419}, {""x"": 478.6283653846154, ""y"": 482.0471153846154, ""count"": 2080}, {""x"": 479.30133597229093, ""y"": 267.91192478970805, ""count"": 2021}, {""x"": 479.8972061149183, ""y"": 52.25144965735372, ""count"": 1897}]"
74,SI266220200309225433,10,0,"[{""x"": 130.11350432194985, ""y"": 199.292333852912, ""count"": 7057}, {""x"": 129.93077927731824, ""y"": 416.1837178929038, ""count"": 6891}, {""x"": 138.33279742765274, ""y"": 11.55184887459807, ""count"": 2488}, {""x"": 138.78378378378378, ""y"": 61.13513513513514, ""count"": 37}, {""x"": 187.5, ""y"": 50.5, ""count"": 28}, {""x"": 297.6861888111888, ""y"": 21.253933566433567, ""count"": 4576}, {""x"": 297.36613294517224, ""y"": 208.16244541484716, ""count"": 10305}, {""x"": 297.43077669902914, ""y"": 424.27718446601943, ""count"": 10300}, {""x"": 479.74313827032626, ""y"": 200.25271879854998, ""count"": 1931}, {""x"": 479.6448645886561, ""y"": 416.43689320388347, ""count"": 1957}, {""x"": 497.53846153846155, ""y"": 5.276923076923077, ""count"": 130}]"
75,SI266220200309225433,11,0,"[{""x"": 130.4680344930122, ""y"": 132.20591733571217, ""count"": 6726}, {""x"": 297.13800904977376, ""y"": 140.56826677159157, ""count"": 10166}, {""x"": 479.55017829852267, ""y"": 132.62098828323994, ""count"": 1963}]"
76,SI266220200309225433,12,0,"[{""x"": 145.66744837842475, ""y"": 339.85666075616314, ""count"": 17483}]"
77,SI266220200309225433,13,0,"[{""x"": 37.89829145728643, ""y"": 51.94211055276382, ""count"": 4975}, {""x"": 38.54313464102076, ""y"": 268.06322605218054, ""count"": 5251}, {""x"": 38.10235674676525, ""y"": 473.5753234750462, ""count"": 4328}, {""x"": 115.0, ""y"": 494.5, ""count"": 12}, {""x"": 198.22981829014, ""y"": 471.5509383378016, ""count"": 6714}, {""x"": 197.22930123311804, ""y"": 59.94362889019378, ""count"": 10218}, {""x"": 197.57138733884935, ""y"": 275.9379449682509, ""count"": 10394}]"
78,SI266220200309225433,14,0,"[{""x"": 40.009927200529454, ""y"": 11.086697551290536, ""count"": 1511}, {""x"": 37.716769938037174, ""y"": 199.63961623026185, ""count"": 5003}, {""x"": 37.64188376753507, ""y"": 416.313627254509, ""count"": 4990}, {""x"": 197.35094671950682, ""y"": 21.401585204755616, ""count"": 4542}, {""x"": 197.3648043605217, ""y"": 208.16897021607943, ""count"": 10274}, {""x"": 197.3341439688716, ""y"": 424.45856031128403, ""count"": 10280}]"
79,SI266220200309225433,15,0,"[{""x"": 37.52265437048917, ""y"": 132.51804330392943, ""count"": 4988}, {""x"": 197.18731764248201, ""y"": 140.466932503404, ""count"": 10282}]"
80,SI266220200309225433,0,0,"[{""x"": 346.10096463022506, ""y"": 336.3477491961415, ""count"": 6220}, {""x"": 475.4907821729014, ""y"": 344.6135672095937, ""count"": 5587}]"
81,SI266220200309225433,1,0,"[{""x"": 345.7229040366701, ""y"": 52.314061806890436, ""count"": 6763}, {""x"": 346.2937303606165, ""y"": 268.54391740236423, ""count"": 6683}, {""x"": 342.11025544703233, ""y"": 478.5736288504884, ""count"": 5324}, {""x"": 475.05107851596205, ""y"": 60.48990509059534, ""count"": 5795}, {""x"": 475.11731069138796, ""y"": 276.64442904176053, ""count"": 5771}, {""x"": 475.19412961348445, ""y"": 473.1304853240337, ""count"": 3441}]"
82,SI266220200309225433,2,0,"[{""x"": 345.962832378434, ""y"": 200.57514323490525, ""count"": 6807}, {""x"": 345.6420915411356, ""y"": 416.6584588644264, ""count"": 6904}, {""x"": 361.61176470588236, ""y"": 10.222145328719723, ""count"": 1445}, {""x"": 475.0107987658553, ""y"": 424.8249914295509, ""count"": 5834}, {""x"": 474.94704931285366, ""y"": 21.297898140662895, ""count"": 2474}, {""x"": 475.0749050742147, ""y"": 208.51656886434242, ""count"": 5794}]"
83,SI266220200309225433,3,396,"[{""x"": 345.8484965802039, ""y"": 132.81145954316685, ""count"": 7749}, {""x"": 472.73008393461936, ""y"": 142.94257104991902, ""count"": 6791}]"
84,SI266220200309225433,4,0,"[{""x"": 22.967286722257857, ""y"": 344.5122942056874, ""count"": 4677}, {""x"": 237.73353640847114, ""y"": 336.36219901363506, ""count"": 6894}, {""x"": 397.4216428639893, ""y"": 344.0566471772261, ""count"": 10433}]"
85,SI266220200309225433,5,0,"[{""x"": 23.600611620795107, ""y"": 60.42059123343527, ""count"": 4905}, {""x"": 23.4449239621866, ""y"": 276.65556925606245, ""count"": 4866}, {""x"": 23.460006865774115, ""y"": 473.04771713010643, ""count"": 2913}, {""x"": 237.99602824360105, ""y"": 268.47308031774054, ""count"": 6798}, {""x"": 234.35462675670743, ""y"": 478.42453002372696, ""count"": 5479}, {""x"": 237.96853146853147, ""y"": 52.20781392520523, ""count"": 6578}, {""x"": 397.1106168446026, ""y"": 60.30664294187426, ""count"": 10116}, {""x"": 397.5095940603606, ""y"": 276.4494262848327, ""count"": 10371}, {""x"": 397.39888089528375, ""y"": 472.5569944044764, ""count"": 6255}]"
86,SI266220200309225433,6,0,"[{""x"": 23.501446480231436, ""y"": 21.20347155255545, ""count"": 2074}, {""x"": 23.877616747181964, ""y"": 208.7427536231884, ""count"": 4968}, {""x"": 23.895334928229666, ""y"": 425.0305023923445, ""count"": 5016}, {""x"": 238.1298972143602, ""y"": 200.7251601370475, ""count"": 6713}, {""x"": 237.76597594551515, ""y"": 416.62353282133023, ""count"": 6901}, {""x"": 253.7089356110381, ""y"": 10.435611038107753, ""count"": 1522}, {""x"": 397.4155594068939, ""y"": 424.54371269015985, ""count"": 10386}, {""x"": 397.0562203657711, ""y"": 21.448182433958003, ""count"": 4429}, {""x"": 397.0591133004926, ""y"": 208.68128078817733, ""count"": 10150}]"
87,SI266220200309225433,7,727,"[{""x"": 25.252772808586762, ""y"": 140.7339892665474, ""count"": 5590}, {""x"": 237.2913475177305, ""y"": 132.9495035460993, ""count"": 7050}, {""x"": 397.1998113207547, ""y"": 140.7622641509434, ""count"": 10600}]"
88,SI266220200309225433,8,0,"[{""x"": 129.89404780027402, ""y"": 336.3294260922515, ""count"": 6569}, {""x"": 297.2489393191909, ""y"": 344.35540207202763, ""count"": 10135}, {""x"": 479.51435643564355, ""y"": 336.49653465346535, ""count"": 2020}]"
89,SI266220200309225433,9,0,"[{""x"": 125.88978165938865, ""y"": 477.98480349344976, ""count"": 5725}, {""x"": 130.096262236725, ""y"": 52.44156036784337, ""count"": 6742}, {""x"": 129.95412981561984, ""y"": 268.2378953680108, ""count"": 6671}, {""x"": 297.0573124452661, ""y"": 60.42775128928675, ""count"": 10277}, {""x"": 296.96767893760375, ""y"": 276.2530026364613, ""count"": 10241}, {""x"": 297.4464512040558, ""y"": 472.5367553865653, ""count"": 6312}, {""x"": 480.2548596112311, ""y"": 52.648488120950326, ""count"": 1852}, {""x"": 479.78254132231405, ""y"": 268.6668388429752, ""count"": 1936}, {""x"": 478.725246241576, ""y"": 483.3888024883359, ""count"": 1929}]"
90,SI266220200309225433,10,0,"[{""x"": 130.0299481097109, ""y"": 200.74677538917717, ""count"": 6745}, {""x"": 129.67972972972973, ""y"": 416.77192192192194, ""count"": 6660}, {""x"": 143.2214199759326, ""y"": 10.416365824308063, ""count"": 1662}, {""x"": 297.4947858886177, ""y"": 21.564899045928556, ""count"": 4507}, {""x"": 296.9449057341018, ""y"": 208.74377258962588, ""count"": 10237}, {""x"": 297.0451083772701, ""y"": 424.70806483108765, ""count"": 10242}, {""x"": 479.79134466769705, ""y"": 200.72591447707367, ""count"": 1941}, {""x"": 479.7646459500764, ""y"": 416.77534386143657, ""count"": 1963}, {""x"": 497.66923076923075, ""y"": 5.415384615384616, ""count"": 130}]"
91,SI266220200309225433,11,0,"[{""x"": 129.9658708295072, ""y"": 132.60544842363024, ""count"": 6534}, {""x"": 297.0854430379747, ""y"": 141.00801028481013, ""count"": 10112}, {""x"": 479.6871165644172, ""y"": 132.92995910020448, ""count"": 1956}]"
92,SI266220200309225433,12,0,"[{""x"": 37.709284028324156, ""y"": 336.4956726986625, ""count"": 5084}, {""x"": 197.7289850998032, ""y"": 344.3247118358167, ""count"": 10671}]"
93,SI266220200309225433,13,0,"[{""x"": 37.346845915201655, ""y"": 52.4928645294726, ""count"": 4835}, {""x"": 37.61365912277188, ""y"": 268.5129180853194, ""count"": 4993}, {""x"": 36.48145285935085, ""y"": 475.42658423493043, ""count"": 3882}, {""x"": 197.1414768806073, ""y"": 60.55368234250222, ""count"": 10143}, {""x"": 197.10332067387282, ""y"": 276.6347258739897, ""count"": 10269}, {""x"": 197.41097406704617, ""y"": 472.4864010120177, ""count"": 6324}]"
94,SI266220200309225433,14,0,"[{""x"": 39.86829913964262, ""y"": 11.179351422898742, ""count"": 1511}, {""x"": 37.28270127763131, ""y"": 200.37233826809978, ""count"": 4931}, {""x"": 37.46810223384987, ""y"": 416.6945059368082, ""count"": 4969}, {""x"": 197.58192341941228, ""y"": 21.539626001780945, ""count"": 4492}, {""x"": 197.016015625, ""y"": 208.71123046875, ""count"": 10240}, {""x"": 196.95637288467182, ""y"": 424.78401643353226, ""count"": 10223}]"
95,SI266220200309225433,15,0,"[{""x"": 37.4558645707376, ""y"": 132.7640064490125, ""count"": 4962}, {""x"": 196.91248665955177, ""y"": 140.86989424662852, ""count"": 10307}]"
96,SI266220200309225433,0,0,"[{""x"": 346.522102936533, ""y"": 336.58556994000634, ""count"": 6334}, {""x"": 475.1495128432241, ""y"": 344.78742249778566, ""count"": 5645}]"
97,SI266220200309225433,1,0,"[{""x"": 346.36908931698775, ""y"": 52.87157034442499, ""count"": 6852}, {""x"": 346.44865742106816, ""y"": 268.9054293301859, ""count"": 6778}, {""x"": 342.7956003666361, ""y"": 478.6027497708524, ""count"": 5455}, {""x"": 418.0, ""y"": 254.5, ""count"": 10}, {""x"": 474.5063269493844, ""y"": 276.953146374829, ""count"": 5848}, {""x"": 474.46731097214325, ""y"": 473.39710062535534, ""count"": 3518}, {""x"": 474.6509271978022, ""y"": 61.089629120879124, ""count"": 5824}]"
98,SI266220200309225433,2,0,"[{""x"": 404.6475721323012, ""y"": 420.93152709359606, ""count"": 14210}, {""x"": 404.1849130173965, ""y"": 204.72810437912418, ""count"": 13336}, {""x"": 362.424262295082, ""y"": 10.40327868852459, ""count"": 1525}, {""x"": 437.5, ""y"": 75.0, ""count"": 10}, {""x"": 474.4990138067061, ""y"": 21.366863905325445, ""count"": 2535}]"
99,SI266220200309225433,3,7571,"[{""x"": 392.250588478216, ""y"": 127.38695023745612, ""count"": 24215}]"
100,SI266220200309225433,4,0,"[{""x"": 23.19780451762719, ""y"": 344.84251636056575, ""count"": 4737}, {""x"": 237.7131895178804, ""y"": 336.4489648183003, ""count"": 6907}, {""x"": 397.174296111856, ""y"": 344.4942539743344, ""count"": 10442}]"
